seq,module,level,name,card,type,label,description,label_ja,description_ja,XPath
2150,gl-bus,3,reportingCalendar,0..*,gl-bus:reportingCalendarComplexType,Reporting Calendar,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar
2160,gl-bus,4,reportingCalendarCode,0..1,gl-bus:reportingCalendarCodeItemType,Reporting Calendar Code,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarCode
2170,gl-bus,4,reportingCalendarDescription,0..1,gl-bus:reportingCalendarDescriptionItemType,Reporting Calendar Description,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarDescription
2180,gl-bus,4,reportingCalendarTitle,0..1,gl-bus:reportingCalendarTitleItemType,Reporting Calendar Title,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarTitle
2190,gl-bus,4,reportingCalendarPeriodType,0..1,gl-bus:reportingCalendarPeriodTypeItemType,Code Related to Type of Periods,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他\n[設定値のリスト]\n(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他) \n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriodType
2200,gl-bus,4,reportingCalendarPeriodTypeDescription,0..1,gl-bus:reportingCalendarPeriodTypeDescriptionItemType,Description of periods,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriodTypeDescription
2210,gl-bus,4,reportingCalendarOpenClosedStatus,0..1,gl-bus:reportingCalendarOpenClosedStatusItemType,Closed status,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",締状態,報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中\n[設定値のリスト]\n(open：オープン)、(closed：締切り済み)、(pending：保留中) \n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarOpenClosedStatus
2220,gl-bus,4,reportingPurpose,0..1,gl-bus:accountingMethodPurposeItemType,Reporting Purpose,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,報告目的,帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingPurpose
2230,gl-bus,4,reportingPurposeDescription,0..1,gl-bus:reportingPurposeDescriptionItemType,Reporting Purpose Description,Free format description of the reporting purpose,報告目的説明,報告目的の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingPurposeDescription
2240,gl-bus,4,reportingCalendarPeriod,0..*,gl-bus:reportingCalendarPeriodComplexType,Reporting Calendar Period,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod
2250,gl-bus,5,periodIdentifier,0..1,gl-bus:periodIdentifierItemType,Reporting Period Identifier,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodIdentifier
2260,gl-bus,5,periodDescription,0..1,gl-bus:periodDescriptionItemType,Period Description,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodDescription
2270,gl-bus,5,periodStart,0..1,gl-bus:periodStartItemType,Period Start Date,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodStart
2280,gl-bus,5,periodEnd,0..1,gl-bus:periodEndItemType,Period End Date,The ending date/time of a period,期間終了日付,期間の終了日付/時刻\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodEnd
2290,gl-bus,5,periodClosedDate,0..1,gl-bus:periodClosedDateItemType,Period Closed Date,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:periodClosedDate
2300,gl-cor,2,entryHeader,0..*,gl-cor:entryHeaderComplexType,Entry Information,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader
2310,gl-cor,3,postedDate,0..1,gl-cor:postedDateItemType,Date Posted,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:postedDate
2320,gl-cor,3,enteredBy,0..1,gl-cor:enteredByItemType,Entry Creator,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredBy
2330,gl-bus,3,enteredByModified,0..1,gl-bus:enteredByModifiedItemType,Entry Last Modifier,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:enteredByModified
2340,gl-cor,3,enteredDate,0..1,gl-cor:enteredDateItemType,Entry Date,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredDate
2350,gl-bus,3,entryResponsiblePerson,0..1,gl-bus:entryResponsiblePersonItemType,Responsible Person,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:entryResponsiblePerson
2360,gl-cor,3,sourceJournalID,0..1,gl-gen:sourceJournalIDItemType,Source Journal,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:\ncd      cash disbursements (sending cheques to vendors)\ncr      cash receipts (receiving cheques from others)\nfa      fixed assets\ngi      giro/other bank adjustments\ngj      general journal\nim      inventory management\njc      job cost\npj      purchase journal (liabilities from purchases)\npl      payroll journal\nsj      sales journal\nse      standard entries\nud      user defined\not      other sources of entries""",元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournalID
2370,gl-bus,3,sourceJournalDescription,0..1,gl-bus:sourceJournalDescriptionItemType,Journal Description,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:sourceJournalDescription
2380,gl-cor,3,entryType,0..1,gl-gen:entryTypeItemType,Type Identifier,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,以下の値のうちのひとつ。\n整理、予算、比較、外部会計士、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他\n[設定値のリスト]\n(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計士)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryType
2390,gl-bus,3,entryOrigin,0..1,gl-bus:entryOriginItemType,Entry Origin,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:entryOrigin
2400,gl-cor,3,entryNumber,0..1,gl-cor:entryNumberItemType,Entry Identifier,Identifier within source journal,仕訳識別子,元仕訳帳中の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryNumber
2410,gl-cor,3,entryComment,0..1,gl-cor:entryCommentItemType,Entry Description,Description of entry described by this entry header (e.g. Opening Balance),仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高)\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryComment
2420,gl-cor,3,qualifierEntry,0..1,gl-gen:qualifierEntryItemType,Entry Qualifier,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",仕訳修飾子,仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他\n[設定値のリスト]\n(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:qualifierEntry
2430,gl-cor,3,qualifierEntryDescription,0..1,gl-cor:qualifierEntryDescriptionItemType,Entry Qualifier Description,Free format description of the entry qualifier,仕訳修飾子説明,仕訳の修飾子の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:qualifierEntryDescription
2440,gl-bus,3,postingCode,0..1,gl-bus:postingCodeItemType,Posting Code,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:postingCode
2450,gl-bus,3,batchID,0..1,gl-bus:batchIDItemType,Batch ID for Entry Group,ID for a batch for this group of entries,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:batchID
2460,gl-bus,3,batchDescription,0..1,gl-bus:batchDescriptionItemType,Batch Description,Description of this batch,仕訳グループ説明,この仕訳の束の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:batchDescription
2470,gl-bus,3,numberOfEntries,0..1,gl-bus:numberOfEntriesItemType,Number of Entries,The total number of entries.,仕訳総数,仕訳の総数。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:numberOfEntries
2480,gl-bus,3,totalDebit,0..1,gl-bus:totalDebitItemType,Total Debits,The total of all debit amounts.,借方合計,借方金額の合計値。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:totalDebit
2490,gl-bus,3,totalCredit,0..1,gl-bus:totalCreditItemType,Total Credits,The total of all credit amounts.,貸方合計,貸方金額の合計値。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:totalCredit
2500,gl-cor,3,bookTaxDifference,0..1,gl-gen:bookTaxDifferenceItemType,Type of Difference Between Book and Tax,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",帳簿価税務簿価差異種別,帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。\n[設定値のリスト]\n(permanent：永久)、(temporary：一時的)、(none：無し),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:bookTaxDifference
2510,gl-bus,3,eliminationCode,0..1,gl-bus:eliminationCodeItemType,Elimination Code,Informs destination ledger this is an intracompany entry which eliminates in consolidation,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:eliminationCode
2520,gl-bus,3,budgetScenarioPeriodStart,0..1,gl-bus:budgetScenarioPeriodStartItemType,Budget Scenario Period Start,Start of period covered by associated budgetScenario,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:budgetScenarioPeriodStart
2530,gl-bus,3,budgetScenarioPeriodEnd,0..1,gl-bus:budgetScenarioPeriodEndItemType,Budget Scenario Period End,End of period covered by associated budgetScenario,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:budgetScenarioPeriodEnd
2540,gl-bus,3,budgetScenarioText,0..1,gl-bus:budgetScenarioTextItemType,Scenario Description,Text related to budgetScenario,シナリオ説明,budgetScenarioに関する記述。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:budgetScenarioText
2550,gl-bus,3,budgetScenario,0..1,gl-bus:budgetScenarioItemType,Scenario Code,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:budgetScenario
2560,gl-bus,3,budgetAllocationCode,0..1,gl-bus:budgetAllocationCodeItemType,Budget Allocation Code,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",予算配分コード,計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計\n[設定値のリスト]\n(D：期間数での分割)、(T：与えられた期間の合計) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:budgetAllocationCode
2570,gl-usk,3,reversingStdId,0..1,gl-usk:reversingStdIdItemType,"ID for Reversing, Standard or Master Entry","For standard, reversing, master, cancelling or other entries an ID associated with those entries.",反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:reversingStdId
2580,gl-usk,3,recurringStdDescription,0..1,gl-usk:recurringStdDescriptionItemType,Recurring Standard Description,Description to accompany standard or recurring ID,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:recurringStdDescription
2590,gl-usk,3,frequencyInterval,0..1,gl-usk:frequencyIntervalItemType,Frequency Interval,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.\n",頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:frequencyInterval
2600,gl-usk,3,frequencyUnit,0..1,gl-usk:frequencyUnitItemType,Frequency Unit,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.\n",頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:frequencyUnit
2610,gl-usk,3,repetitionsRemaining,0..1,gl-usk:repetitionsRemainingItemType,Repetitions Remaining,Number of times that the recurring entry will repeat,反復残回数,反復仕訳の繰り返し予定数。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:repetitionsRemaining
2620,gl-usk,3,nextDateRepeat,0..1,gl-usk:nextDateRepeatItemType,Next Date Repeat,Date next repeated or standard posted,次回反復日付,次回の反復あるいは通常の転記日。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:nextDateRepeat
2630,gl-usk,3,lastDateRepeat,0..1,gl-usk:lastDateRepeatItemType,Last Date Repeat,Date last repeated or standard posted,前回反復日付,前回の反復あるいは通常の転記日。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:lastDateRepeat
2640,gl-usk,3,endDateRepeatingEntry,0..1,gl-usk:endDateRepeatingEntryItemType,End Date of Repeating Entry,"For standard or recurring journals, stop date/time for repetitive entry.",反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:endDateRepeatingEntry
2650,gl-usk,3,reverse,0..1,gl-usk:reverseTypeItemType,Reverse,Should entry be reversed?,反対仕訳要否,仕訳が取り消されるべきか。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:reverse
2660,gl-usk,3,reversingDate,0..1,gl-usk:reversingDateItemType,Reversing Date,Date this entry should be reversed,反対仕訳日付,この仕訳が取り消されるべき日付。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-usk:reversingDate
2670,gl-cor,3,entryNumberCounter,0..1,gl-cor:counterItemType,Entry Number Counter,Unique reference for the entry - a numeric counter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryNumberCounter
2680,gl-cor,3,entryDetail,0..*,gl-cor:entryDetailComplexType,Entry Detail,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail
2690,gl-cor,4,lineNumber,0..1,gl-cor:lineNumberItemType,Line Number,Identifier for a particular entry detail\n,明細行番号,仕訳明細の識別子。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumber
2700,gl-cor,4,lineNumberCounter,0..1,gl-cor:counterItemType,Line Number Counter,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumberCounter
2710,gl-cor,4,account,0..*,gl-cor:accountComplexType,Account Identifier,"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: \n/account/accountMainID 1000  \n/account/accountMainDescription Cash  \n/account/accountSub/accountSubID 4783HG  \n/account/accountSub/accountSubDescription Department  \n/account/accountSub/accountSubID QOWI  \n/account/accountSub/accountSubDescription Branch  \n/account/accountSub/accountSubID 192837  \n/account/accountSub/accountSubDescription Division",【科目識別子】,タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。\n/account/accountMainID 1000  /account/accountMainDescription Cash  /account/accountSub/accountSubID 4783HG  /account/accountSub/accountSubDescription Department  /account/accountSub/accountSubID QOWI  /account/accountSub/accountSubDescription Branch  /account/accountSub/accountSubID 192837  /account/accountSub/accountSubDescription Division,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account
2720,gl-cor,5,accountMainID,0..1,gl-cor:accountMainIDItemType,Main Account Number,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",主勘定科目コード,主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。\n部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainID
2730,gl-cor,5,accountMainDescription,0..1,gl-cor:accountMainDescriptionItemType,Main Account Description,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainDescription
2740,gl-cor,5,mainAccountType,0..1,gl-gen:mainAccountTypeItemType,Account Classification,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associate other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange.",主勘定科目区分,主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。\n[設定値のリスト]\n(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:mainAccountType
2750,gl-cor,5,mainAccountTypeDescription,0..1,gl-cor:mainAccountTypeDescriptionItemType,Account Classification Description,Free format description of the account classification,主勘定科目区分説明,主勘定科目の区分の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:mainAccountTypeDescription
2760,gl-cor,5,parentAccountMainID,0..1,gl-cor:parentAccountMainIDItemType,Parent Account Number,Roll up item from child natural account to parent natural account.,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:parentAccountMainID
2770,gl-cor,5,accountPurposeCode,0..1,gl-gen:accountPurposeCodeItemType,Purpose of Account,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。\n[設定値のリスト]\n(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)",/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountPurposeCode
2780,gl-cor,5,accountPurposeDescription,0..1,gl-cor:accountPurposeDescriptionItemType,Description of Purpose of Account,Description of usage for aggregate account,勘定科目目的説明,勘定科目群の使用法の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountPurposeDescription
2790,gl-cor,5,accountType,0..1,gl-gen:accountTypeItemType,Account Type,Type of account,科目種別,科目の種別。\n[設定値のリスト]\n(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountType
2800,gl-cor,5,accountTypeDescription,0..1,gl-cor:accountTypeDescriptionItemType,Account Type Description,Free format description of the account type,科目種別説明,科目の種別の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountTypeDescription
