source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
48,en16931,4,A,,Seller city,Text,1..1,"Project-defined Seller city in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerCity,Seller postal address,48,bus,4,A,,City,String,0..1,City,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_City",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
49,en16931,4,A,,Seller post code,Text,1..1,"Project-defined Seller post code in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerPostCode,Seller postal address,51,bus,4,A,,Zip or Postal Code,String,0..1,Zip or other postal code,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_ZiporPostalCode",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
50,en16931,4,A,,Seller country subdivision,Text,0..1,"Project-defined Seller country subdivision in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,Seller postal address,49,bus,4,A,,State or Province,String,0..1,"State, province or region","$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_StateorProvince",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
51,en16931,4,A,,Seller country code,Code,1..1,"Project-defined Seller country code in the Seller postal address context, represented as Code.",$.invoice.seller.sellerPostalAddress.sellerCountryCode,Seller postal address,50,bus,4,A,,Country,String,0..1,Country,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_Country",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence for EN16931 to XBRL GL Next Business Transactions. The EN country-code lexical value is stored in the target Country fact for this Binding. This does not redefine the generic XBRL GL Next Country concept as code-only. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
52,en16931,3,C,,Seller contact,,0..1,"Project-defined Seller contact in the Seller contact context, represented as structured information.",$.invoice.seller.sellerContact,Seller contact,56,bus,3,C,,Party_ Contact,,0..*,Information about contacts.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyContact[not(bus_ContactContactType)]",Party_ Contact,identity,STRUCTURAL,HIGH,R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
53,en16931,4,A,,Seller contact point,Text,0..1,"Project-defined Seller contact point in the Seller contact context, represented as Text.",$.invoice.seller.sellerContact.sellerContactPoint,Seller contact,61,bus,4,A,,Contact Attention Line,String,0..1,Attention Line,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactAttentionLine",Party_ Contact,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Contact point is mapped to target Contact Attention Line with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
54,en16931,4,A,,Seller contact telephone number,Text,0..1,"Project-defined Seller contact telephone number in the Seller contact context, represented as Text.",$.invoice.seller.sellerContact.sellerContactTelephoneNumber,Seller contact,67,bus,5,A,PK,Phone Number,String,0..1,Phone number referred to in Phone Number Description'\.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactPhone[not(bus_PhoneNumberDescription)].bus_PhoneNumber",Contact_ Phone,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
55,en16931,4,A,,Seller contact email address,Text,0..1,"Project-defined Seller contact email address in the Seller contact context, represented as Text.",$.invoice.seller.sellerContact.sellerContactEmailAddress,Seller contact,73,bus,5,A,PK,Email Address,String,0..1,Email Address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactEmail[not(bus_EmailAddressUsage)].bus_EmailAddress",Contact_ Email,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
56,en16931,2,C,,Buyer,,1..1,"Project-defined Buyer in the Buyer context, represented as structured information.",$.invoice.buyer,Buyer,24,btx,2,C,,Entity_ Party,,0..1,Holder for entity information - information about the reporting organization.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""]",Entity_ Party,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
57,en16931,3,A,,Buyer name,Text,1..1,"Project-defined Buyer name in the Buyer context, represented as Text.",$.invoice.buyer.buyerName,Buyer,25,btx,3,A,,Party Name,String,0..1,Name of the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyName",Entity_ Party,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
58,en16931,3,A,,Buyer trading name,Text,0..1,"Project-defined Buyer trading name in the Buyer context, represented as Text.",$.invoice.buyer.buyerTradingName,Buyer,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
59,en16931,3,C,,Buyer Identifier,,0..*,"Project-defined Buyer Identifier in the Buyer Identifier context, represented as structured information.",$.invoice.buyer.buyerIdentifier,Buyer Identifier,178,btx,3,C,,Header_ Identifier Reference,,0..*,"Identification for customer, vendor, or employee.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][not(btx_IdentifierPurpose)]",Header_ Identifier Reference,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
60,en16931,4,A,,Identifier,Identifier,1..1,"Project-defined Identifier in the Buyer Identifier context, represented as Identifier.",$.invoice.buyer.buyerIdentifier.identifier,Buyer Identifier,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
61,en16931,4,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Buyer Identifier context, represented as Identifier.",$.invoice.buyer.buyerIdentifier.schemeIdentifier,Buyer Identifier,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,
62,en16931,3,A,,Buyer legal registration identifier,Identifier,0..1,"Project-defined Buyer legal registration identifier in the Buyer context, represented as Identifier.",$.invoice.buyer.buyerLegalRegistrationIdentifier,Buyer,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
63,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,Buyer,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,
64,en16931,3,A,,Buyer VAT identifier,Identifier,0..1,"Project-defined Buyer VAT identifier in the Buyer context, represented as Identifier.",$.invoice.buyer.buyerVatIdentifier,Buyer,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][btx_IdentifierPurpose=""VAT""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
65,en16931,3,A,,Buyer electronic address,Identifier,0..1,"Project-defined Buyer electronic address in the Buyer context, represented as Identifier.",$.invoice.buyer.buyerElectronicAddress,Buyer,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][btx_IdentifierPurpose=""electronicAddress""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=customer:Identifier_Type:PASS; btx_IdentifierPurpose=electronicAddress:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
66,en16931,3,A,,Scheme identifier,Identifier,1..1,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,Buyer,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""customer""][btx_IdentifierPurpose=""electronicAddress""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=customer:Identifier_Type:PASS; btx_IdentifierPurpose=electronicAddress:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
67,en16931,3,C,,Buyer postal address,,1..1,"Project-defined Buyer postal address in the Buyer postal address context, represented as structured information.",$.invoice.buyer.buyerPostalAddress,Buyer postal address,40,bus,3,C,,Party_ Address,,0..*,Address class for the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""]",Party_ Address,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
68,en16931,4,A,,Buyer address line 1,Text,0..1,"Project-defined Buyer address line 1 in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,Buyer postal address,46,bus,4,A,,Street,String,0..1,Street address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_Street",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 1 is mapped to target Street with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
69,en16931,4,A,,Buyer address line 2,Text,0..1,"Project-defined Buyer address line 2 in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,Buyer postal address,47,bus,4,A,,Address Detail,String,0..1,Address Detail,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_AddressDetail",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 2 is mapped to target Address Detail with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
70,en16931,4,A,,Buyer address line 3,Text,0..1,"Project-defined Buyer address line 3 in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,Buyer postal address,42,bus,4,A,,Description,String,0..1,Address Description,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_Description",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 3 is mapped to target Description with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
71,en16931,4,A,,Buyer city,Text,1..1,"Project-defined Buyer city in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerCity,Buyer postal address,48,bus,4,A,,City,String,0..1,City,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_City",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
72,en16931,4,A,,Buyer post code,Text,1..1,"Project-defined Buyer post code in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerPostCode,Buyer postal address,51,bus,4,A,,Zip or Postal Code,String,0..1,Zip or other postal code,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_ZiporPostalCode",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
73,en16931,4,A,,Buyer country subdivision,Text,0..1,"Project-defined Buyer country subdivision in the Buyer postal address context, represented as Text.",$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,Buyer postal address,49,bus,4,A,,State or Province,String,0..1,"State, province or region","$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_StateorProvince",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
74,en16931,4,A,,Buyer country code,Code,1..1,"Project-defined Buyer country code in the Buyer postal address context, represented as Code.",$.invoice.buyer.buyerPostalAddress.buyerCountryCode,Buyer postal address,50,bus,4,A,,Country,String,0..1,Country,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyAddress[bus_Purpose=""postal""].bus_Country",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence for EN16931 to XBRL GL Next Business Transactions. The EN country-code lexical value is stored in the target Country fact for this Binding. This does not redefine the generic XBRL GL Next Country concept as code-only. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
75,en16931,3,C,,Buyer contact,,0..1,"Project-defined Buyer contact in the Buyer contact context, represented as structured information.",$.invoice.buyer.buyerContact,Buyer contact,56,bus,3,C,,Party_ Contact,,0..*,Information about contacts.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyContact[not(bus_ContactContactType)]",Party_ Contact,identity,STRUCTURAL,HIGH,R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
76,en16931,4,A,,Buyer contact point,Text,0..1,"Project-defined Buyer contact point in the Buyer contact context, represented as Text.",$.invoice.buyer.buyerContact.buyerContactPoint,Buyer contact,61,bus,4,A,,Contact Attention Line,String,0..1,Attention Line,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactAttentionLine",Party_ Contact,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Contact point is mapped to target Contact Attention Line with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
77,en16931,4,A,,Buyer contact telephone number,Text,0..1,"Project-defined Buyer contact telephone number in the Buyer contact context, represented as Text.",$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,Buyer contact,67,bus,5,A,PK,Phone Number,String,0..1,Phone number referred to in Phone Number Description'\.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactPhone[not(bus_PhoneNumberDescription)].bus_PhoneNumber",Contact_ Phone,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
78,en16931,4,A,,Buyer contact email address,Text,0..1,"Project-defined Buyer contact email address in the Buyer contact context, represented as Text.",$.invoice.buyer.buyerContact.buyerContactEmailAddress,Buyer contact,73,bus,5,A,PK,Email Address,String,0..1,Email Address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""buyer""].btx_PartyContact[not(bus_ContactContactType)].bus_ContactEmail[not(bus_EmailAddressUsage)].bus_EmailAddress",Contact_ Email,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
79,en16931,2,C,,Payee,,0..1,"Project-defined Payee in the Payee context, represented as structured information.",$.invoice.payee,Payee,24,btx,2,C,,Entity_ Party,,0..1,Holder for entity information - information about the reporting organization.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""payee""]",Entity_ Party,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
80,en16931,3,A,,Payee name,Text,1..1,"Project-defined Payee name in the Payee context, represented as Text.",$.invoice.payee.payeeName,Payee,25,btx,3,A,,Party Name,String,0..1,Name of the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""payee""].btx_PartyName",Entity_ Party,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
81,en16931,3,A,,Payee identifier,Identifier,0..1,"Project-defined Payee identifier in the Payee context, represented as Identifier.",$.invoice.payee.payeeIdentifier,Payee,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""payee""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=payee:Identifier_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
82,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",$.invoice.payee.payeeIdentifierSchemeIdentifier,Payee,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""payee""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=payee:Identifier_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
83,en16931,3,A,,Payee legal registration identifier,Identifier,0..1,"Project-defined Payee legal registration identifier in the Payee context, represented as Identifier.",$.invoice.payee.payeeLegalRegistrationIdentifier,Payee,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""payee""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=payee:Identifier_Type:PASS; btx_IdentifierPurpose=legalRegistration:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
84,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,Payee,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""payee""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=payee:Identifier_Type:PASS; btx_IdentifierPurpose=legalRegistration:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
