sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
65,0000.0003.0002.0003.0007.0001,3,3,A,,Buyer electronic address,Identifier,0..1,,address to which the invoice is delivered. The identification scheme identifier of the Buyer electronic address. A group of business terms providing,en16931,Buyer,BT-49,$.invoice.buyer.buyerElectronicAddress,,,BuyerElectronicAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
66,0000.0003.0002.0003.0007.0001@schemeID,3,3,A,,Scheme identifier,Identifier,1..1,,The identification scheme identifier of the Buyer electronic address.,en16931,Buyer,BT-49-1,$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
67,0000.0003.0002.0003.0006,3,3,C,,Buyer postal address,,1..1,,information about the postal address for the Buyer.,en16931,Buyer postal address,BG-8,$.invoice.buyer.buyerPostalAddress,,,BuyerPostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
68,0000.0003.0002.0003.0006.0002,4,4,A,,Buyer address line 1,Text,0..1,,The main address line in an address. An additional address line in an,en16931,Buyer postal address,BT-50,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,,,BuyerAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
69,0000.0003.0002.0003.0006.0003,4,4,A,,Buyer address line 2,Text,0..1,,address that can be used to give,en16931,Buyer postal address,BT-51,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,,,BuyerAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
70,0000.0003.0002.0003.0006.0004,4,4,A,,Buyer address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",en16931,Buyer postal address,BT-163,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,,,BuyerAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
71,0000.0003.0002.0003.0006.0005,4,4,A,,Buyer city,Text,1..1,,"or village, where the Buyer's address is located. The identifier for an addressable",en16931,Buyer postal address,BT-52,$.invoice.buyer.buyerPostalAddress.buyerCity,,,BuyerCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
72,0000.0003.0002.0003.0006.0001,4,4,A,,Buyer post code,Text,1..1,,group of properties according to the relevant postal service.,en16931,Buyer postal address,BT-53,$.invoice.buyer.buyerPostalAddress.buyerPostCode,,,BuyerPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
73,0000.0003.0002.0003.0006.0007,4,4,A,,Buyer country subdivision,Text,0..1,,The subdivision of a country.,en16931,Buyer postal address,BT-54,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,,,BuyerCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
74,0000.0003.0002.0003.0006.0006,4,4,A,,Buyer country code,Code,1..1,,A code that identifies the country.,en16931,Buyer postal address,BT-55,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,,,BuyerCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local D16B XSD correction: CountryID.
75,0000.0003.0002.0003.0005,3,3,C,,Buyer contact,,0..1,,A group of business terms providing contact information relevant for the Buyer. A contact point for a legal entity or,en16931,Buyer contact,BG-9,$.invoice.buyer.buyerContact,,,BuyerContact,ram:DefinedTradeContact,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
76,0000.0003.0002.0003.0005.0001,4,4,A,,Buyer contact point,Text,0..1,,person. A phone number for the contact,en16931,Buyer contact,BT-56,$.invoice.buyer.buyerContact.buyerContactPoint,,,BuyerContactPoint,ram:PersonName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:PersonName,,,false,CEN STR-5 also allows DepartmentName; PersonName is deterministic forward representation.
77,0000.0003.0002.0003.0005.0003.0001,4,4,A,,Buyer contact telephone number,Text,0..1,,point.,en16931,Buyer contact,BT-57,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,,,BuyerContactTelephoneNumber,ram:CompleteNumber,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
78,0000.0003.0002.0003.0005.0004.0001,4,4,A,,Buyer contact email address,Text,0..1,,An e-mail address for the contact point.,en16931,Buyer contact,BT-58,$.invoice.buyer.buyerContact.buyerContactEmailAddress,,,BuyerContactEmailAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
79,0000.0003.0004.0005,2,2,C,,Payee,,0..1,,"information about the Payee, i.e. the role that receives the payment.",en16931,Payee,BG-10,$.invoice.payee,,,Payee,ram:PayeeTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
80,0000.0003.0004.0005.0003,3,3,A,,Payee name,Text,1..1,,The name of the Payee. An identifier for the Payee.,en16931,Payee,BT-59,$.invoice.payee.payeeName,,,PayeeName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:Name,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
81,0000.0003.0004.0005.0002,3,3,A,,Payee identifier,Identifier,0..1,,The identification scheme identifier of the Payee identifier. An identifier issued by an official registrar that identifies the Payee as,en16931,Payee,BT-60,$.invoice.payee[payeeIdentifierSchemeIdentifier].payeeIdentifier,,,PayeeIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,CEN/TS SYN-1; GlobalID when scheme fact is present.
81,0000.0003.0004.0005.0001,3,3,A,,Payee identifier,Identifier,0..1,,The identification scheme identifier of the Payee identifier. An identifier issued by an official registrar that identifies the Payee as,en16931,Payee,BT-60,$.invoice.payee[not(payeeIdentifierSchemeIdentifier)].payeeIdentifier,,,PayeeIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,CEN/TS SYN-1; ID when scheme fact is absent.
82,0000.0003.0004.0005.0002@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Payee identifier.,en16931,Payee,BT-60-1,$.invoice.payee[payeeIdentifierSchemeIdentifier].payeeIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID/@schemeID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
83,0000.0003.0004.0005.0004.0001,3,3,A,,Payee legal registration identifier,Identifier,0..1,,a legal entity or person. The identification scheme identifier of the Payee legal registration identifier. A group of business terms providing,en16931,Payee,BT-61,$.invoice.payee.payeeLegalRegistrationIdentifier,,,PayeeLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
84,0000.0003.0004.0005.0004.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Payee legal registration identifier.,en16931,Payee,BT-61-1,$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
85,0000.0003.0002.0004,2,2,C,,Seller tax representative party,,0..1,,information about the Seller's tax representative. The full name of the Seller's tax,en16931,Seller tax representative party,BG-11,$.invoice.sellerTaxRepresentativeParty,,,SellerTaxRepresentativeParty,ram:SellerTaxRepresentativeTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
86,0000.0003.0002.0004.0001,3,3,A,,Seller tax representative name,Text,1..1,,The full name of the Seller's tax representative party.,en16931,Seller tax representative party,BT-62,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,,,SellerTaxRepresentativeName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
87,0000.0003.0002.0004.0003.0001,3,3,A,,Seller tax representative VAT identifier,Identifier,1..1,,The VAT identifier of the Seller's tax representative party. A group of business terms providing,en16931,Seller tax representative party,BT-63,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,,,SellerTaxRepresentativeVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
88,0000.0003.0002.0004.0002,3,3,C,,Seller tax representative postal address,,1..1,,information about the postal address for the tax representative party.,en16931,Seller tax representative postal address,BG-12,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,,,SellerTaxRepresentativePostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
89,0000.0003.0002.0004.0002.0002,4,4,A,,Tax representative address line 1,Text,0..1,,The main address line in an address. An additional address line in an,en16931,Seller tax representative postal address,BT-64,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,,,TaxRepresentativeAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
90,0000.0003.0002.0004.0002.0003,4,4,A,,Tax representative address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,en16931,Seller tax representative postal address,BT-65,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,,,TaxRepresentativeAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
91,0000.0003.0002.0004.0002.0004,4,4,A,,Tax representative address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",en16931,Seller tax representative postal address,BT-164,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,,,TaxRepresentativeAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
92,0000.0003.0002.0004.0002.0005,4,4,A,,Tax representative city,Text,0..1,,"or village, where the tax representative address is located. The identifier for an addressable",en16931,Seller tax representative postal address,BT-66,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,,,TaxRepresentativeCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
93,0000.0003.0002.0004.0002.0001,4,4,A,,Tax representative post code,Text,0..1,,group of properties according to the relevant postal service.,en16931,Seller tax representative postal address,BT-67,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,,,TaxRepresentativePostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
94,0000.0003.0002.0004.0002.0007,4,4,A,,Tax representative country subdivision,Text,0..1,,The subdivision of a country.,en16931,Seller tax representative postal address,BT-68,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,,,TaxRepresentativeCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
95,0000.0003.0002.0004.0002.0006,4,4,A,,Tax representative country code,Code,1..1,,A code that identifies the country. A group of business terms providing,en16931,Seller tax representative postal address,BT-69,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,,,TaxRepresentativeCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
96,0000.0003.0003.0001,2,2,C,,Delivery information,,0..1,,information about where and when the goods and services invoiced are delivered.,en16931,Delivery information,BG-13,$.invoice.deliveryInformation,,,DeliveryInformation,ram:ShipToTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
97,0000.0003.0003.0001.0003,3,3,A,,Deliver to party name,Text,0..1,,The name of the party to which the goods and services are delivered.,en16931,Delivery information,BT-70,$.invoice.deliveryInformation.deliverToPartyName,,,DeliverToPartyName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:Name,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
98,0000.0003.0003.0001.0002,3,3,A,,Deliver to location identifier,Identifier,0..1,,An identifier for the location at which the goods and services are delivered. The identification scheme identifier of the Deliver to location identifier. the date on which the supply of,en16931,Delivery information,BT-71,$.invoice.deliveryInformation[deliverToLocationIdentifierSchemeIdentifier].deliverToLocationIdentifier,,,DeliverToLocationIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
98,0000.0003.0003.0001.0001,3,3,A,,Deliver to location identifier,Identifier,0..1,,An identifier for the location at which the goods and services are delivered. The identification scheme identifier of the Deliver to location identifier. the date on which the supply of,en16931,Delivery information,BT-71,$.invoice.deliveryInformation[not(deliverToLocationIdentifierSchemeIdentifier)].deliverToLocationIdentifier,,,DeliverToLocationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
99,0000.0003.0003.0001.0002@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Deliver to location identifier.,en16931,Delivery information,BT-71-1,$.invoice.deliveryInformation[deliverToLocationIdentifierSchemeIdentifier].deliverToLocationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID/@schemeID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
100,0000.0003.0003.0002.0001.0001,3,3,A,,Actual delivery date,Date,0..1,,goods or services was made or completed. A group of business terms providing,en16931,Delivery information,BT-72,$.invoice.deliveryInformation.actualDeliveryDate,,,ActualDeliveryDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
101,0000.0003.0004.0008,2,2,C,,Invoicing period,,0..1,,information on the invoice period. The date when the Invoice period,en16931,Invoicing period,BG-14,$.invoice.invoicingPeriod,,,InvoicingPeriod,ram:BillingSpecifiedPeriod,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
102,0000.0003.0004.0008.0001.0001,3,3,A,,Invoicing period start date,Date,0..1,,starts.,en16931,Invoicing period,BT-73,$.invoice.invoicingPeriod.invoicingPeriodStartDate,,,InvoicingPeriodStartDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
103,0000.0003.0004.0008.0002.0001,3,3,A,,Invoicing period end date,Date,0..1,,The date when the Invoice period ends.,en16931,Invoicing period,BT-74,$.invoice.invoicingPeriod.invoicingPeriodEndDate,,,InvoicingPeriodEndDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
104,0000.0003.0003.0001.0004,3,3,C,,Deliver to address,,0..1,,information about the address to which goods and services invoiced were or are delivered.,en16931,Deliver to address,BG-15,$.invoice.deliveryInformation.deliverToAddress,,,DeliverToAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
105,0000.0003.0003.0001.0004.0002,4,4,A,,Deliver to address line 1,Text,0..1,,The main address line in an address. An additional address line in an,en16931,Deliver to address,BT-75,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,,,DeliverToAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
106,0000.0003.0003.0001.0004.0003,4,4,A,,Deliver to address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,en16931,Deliver to address,BT-76,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,,,DeliverToAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
107,0000.0003.0003.0001.0004.0004,4,4,A,,Deliver to address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",en16931,Deliver to address,BT-165,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,,,DeliverToAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
108,0000.0003.0003.0001.0004.0005,4,4,A,,Deliver to city,Text,0..1,,"or village, where the deliver to address is located. The identifier for an addressable",en16931,Deliver to address,BT-77,$.invoice.deliveryInformation.deliverToAddress.deliverToCity,,,DeliverToCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CityName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
109,0000.0003.0003.0001.0004.0001,4,4,A,,Deliver to post code,Text,0..1,,group of properties according to the relevant postal service.,en16931,Deliver to address,BT-78,$.invoice.deliveryInformation.deliverToAddress.deliverToPostCode,,,DeliverToPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
110,0000.0003.0003.0001.0004.0007,4,4,A,,Deliver to country subdivision,Text,0..1,,The subdivision of a country.,en16931,Deliver to address,BT-79,$.invoice.deliveryInformation.deliverToAddress.deliverToCountrySubdivision,,,DeliverToCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
111,0000.0003.0003.0001.0004.0006,4,4,A,,Deliver to country code,Code,1..1,,A code that identifies the country.,en16931,Deliver to address,BT-80,$.invoice.deliveryInformation.deliverToAddress.deliverToCountryCode,,,DeliverToCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
112,0000.0003.0004.0006,2,2,C,,Payment instructions,,0..*,,Information about payment means.,en16931,Payment instruction,BG-16,$.invoice.paymentInstructions,,,PaymentInstructions,ram:SpecifiedTradeSettlementPaymentMeans,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
113,0000.0003.0004.0006.0001,3,3,A,,Payment means type code,Code,1..1,,"has been settled. The means, expressed as text, for",en16931,Payment instruction,BT-81,$.invoice.paymentInstructions.paymentMeansTypeCode,,,PaymentMeansTypeCode,ram:TypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:TypeCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
114,0000.0003.0004.0006.0002,3,3,A,,Payment means text,Text,0..1,,how a payment is expected to be or has been settled. A textual value used to establish a,en16931,Payment instruction,BT-82,$.invoice.paymentInstructions.paymentMeansText,,,PaymentMeansText,ram:Information,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:Information,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
115,0000.0003.0004.0002,3,3,A,,Payment remittance information,Text,0..1,,Remittance information for matching payment.,en16931,Payment instruction,BT-83,$.invoice.paymentInstructions.paymentRemittanceInformation,,,PaymentRemittanceInformation,ram:PaymentReference,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PaymentReference,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
