sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
70,4,A,BT-163,Buyer address line 3,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,0000.0003.0002.0004.0008.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,,Corrected to the D16B TradeAddressType element ram:LineThree.
71,4,A,BT-52,Buyer city,Text,1..1,$.invoice.buyer.buyerPostalAddress.buyerCity,0000.0003.0002.0004.0008.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
72,4,A,BT-53,Buyer post code,Text,1..1,$.invoice.buyer.buyerPostalAddress.buyerPostCode,0000.0003.0002.0004.0008.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
73,4,A,BT-54,Buyer country subdivision,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,0000.0003.0002.0004.0008.0016,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
74,4,A,BT-55,Buyer country code,Code,1..1,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,0000.0003.0002.0004.0008.0013,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,,Corrected to the D16B TradeAddressType element ram:CountryID.
75,3,C,BG-9,Buyer contact,,0..1,$.invoice.buyer.buyerContact,0000.0003.0002.0004.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact,,,,CII D16B reversible occurrence context.
76,4,A,BT-56,Buyer contact point,Text,0..1,$.invoice.buyer.buyerContact.buyerContactPoint,0000.0003.0002.0004.0007.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:DepartmentName,,,,DepartmentName selected; PersonName remains a future syntax alternative.
77,4,A,BT-57,Buyer contact telephone number,Text,0..1,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,0000.0003.0002.0004.0007.0008.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,,Corrected to the D16B UniversalCommunicationType CompleteNumber path.
78,4,A,BT-58,Buyer contact email address,Text,0..1,$.invoice.buyer.buyerContact.buyerContactEmailAddress,0000.0003.0002.0004.0007.0012.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
79,2,C,BG-10,Payee,,0..1,$.invoice.payee,0000.0003.0004.0017,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty,,,,CII D16B reversible occurrence context.
80,3,A,BT-59,Payee name,Text,1..1,$.invoice.payee.payeeName,0000.0003.0004.0017.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:Name,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
81,3,A,BT-60,Payee identifier,Identifier,0..1,$.invoice.payee.payeeIdentifier[schemeIdentifier],0000.0003.0004.0017.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID,,,,Same-BT syntax variant; the nearest canonical Class is max-one and the BT-NN-1 fact controls selection.
81,3,A,BT-60,Payee identifier,Identifier,0..1,$.invoice.payee.payeeIdentifier[not(schemeIdentifier)],0000.0003.0004.0017.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:ID,,,,Same-BT syntax variant; the nearest canonical Class is max-one and the BT-NN-1 fact controls selection.
82,3,A,BT-60-1,Scheme identifier,Identifier,0..1,$.invoice.payee.payeeIdentifierSchemeIdentifier,0000.0003.0004.0017.0002.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
83,3,A,BT-61,Payee legal registration identifier,Identifier,0..1,$.invoice.payee.payeeLegalRegistrationIdentifier,0000.0003.0004.0017.0006.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
84,3,A,BT-61-1,Scheme identifier,Identifier,0..1,$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,0000.0003.0004.0017.0006.0003.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
85,2,C,BG-11,Seller tax representative party,,0..1,$.invoice.sellerTaxRepresentativeParty,0000.0003.0002.0010,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty,,,,CII D16B reversible occurrence context.
86,3,A,BT-62,Seller tax representative name,Text,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,0000.0003.0002.0010.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
87,3,A,BT-63,Seller tax representative VAT identifier,Identifier,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,0000.0003.0002.0010.0010.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
88,3,C,BG-12,Seller tax representative postal address,,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,0000.0003.0002.0010.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress,,,,CII D16B reversible occurrence context.
89,4,A,BT-64,Tax representative address line 1,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,0000.0003.0002.0010.0008.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
90,4,A,BT-65,Tax representative address line 2,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,0000.0003.0002.0010.0008.0006,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
91,4,A,BT-164,Tax representative address line 3,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,0000.0003.0002.0010.0008.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
92,4,A,BT-66,Tax representative city,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,0000.0003.0002.0010.0008.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
93,4,A,BT-67,Tax representative post code,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,0000.0003.0002.0010.0008.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
94,4,A,BT-68,Tax representative country subdivision,Text,0..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,0000.0003.0002.0010.0008.0016,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
95,4,A,BT-69,Tax representative country code,Code,1..1,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,0000.0003.0002.0010.0008.0013,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
96,2,C,BG-13,Delivery information,,0..1,$.invoice.deliveryInformation,0000.0003.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery,,,,CII D16B reversible occurrence context. Uses the common physical parent to resolve CEN structural mismatch while retaining the HMD occurrence model.
97,3,A,BT-70,Deliver to party name,Text,0..1,$.invoice.deliveryInformation.deliverToPartyName,0000.0003.0003.0002.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:Name,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
98,3,A,BT-71,Deliver to location identifier,Identifier,0..1,$.invoice.deliveryInformation.deliverToLocationIdentifier[schemeIdentifier],0000.0003.0003.0002.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID,,,,Same-BT syntax variant; the nearest canonical Class is max-one and the BT-NN-1 fact controls selection.
98,3,A,BT-71,Deliver to location identifier,Identifier,0..1,$.invoice.deliveryInformation.deliverToLocationIdentifier[not(schemeIdentifier)],0000.0003.0003.0002.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:ID,,,,Same-BT syntax variant; the nearest canonical Class is max-one and the BT-NN-1 fact controls selection.
99,3,A,BT-71-1,Scheme identifier,Identifier,0..1,$.invoice.deliveryInformation.deliverToLocationIdentifierSchemeIdentifier,0000.0003.0003.0002.0002.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
100,3,A,BT-72,Actual delivery date,Date,0..1,$.invoice.deliveryInformation.actualDeliveryDate,0000.0003.0003.0007.0002.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
101,2,C,BG-14,Invoicing period,,0..1,$.invoice.invoicingPeriod,0000.0003.0004.0024,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod,,,,CII D16B reversible occurrence context.
102,3,A,BT-73,Invoicing period start date,Date,0..1,$.invoice.invoicingPeriod.invoicingPeriodStartDate,0000.0003.0004.0024.0004.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
103,3,A,BT-74,Invoicing period end date,Date,0..1,$.invoice.invoicingPeriod.invoicingPeriodEndDate,0000.0003.0004.0024.0005.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
104,3,C,BG-15,Deliver to address,,0..1,$.invoice.deliveryInformation.deliverToAddress,0000.0003.0003.0002.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress,,,,CII D16B reversible occurrence context.
105,4,A,BT-75,Deliver to address line 1,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,0000.0003.0003.0002.0008.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineOne,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
106,4,A,BT-76,Deliver to address line 2,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,0000.0003.0003.0002.0008.0006,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
107,4,A,BT-165,Deliver to address line 3,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,0000.0003.0003.0002.0008.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineThree,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
108,4,A,BT-77,Deliver to city,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCity,0000.0003.0003.0002.0008.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CityName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
109,4,A,BT-78,Deliver to post code,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToPostCode,0000.0003.0003.0002.0008.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
110,4,A,BT-79,Deliver to country subdivision,Text,0..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCountrySubdivision,0000.0003.0003.0002.0008.0016,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
111,4,A,BT-80,Deliver to country code,Code,1..1,$.invoice.deliveryInformation.deliverToAddress.deliverToCountryCode,0000.0003.0003.0002.0008.0013,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountryID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
112,2,C,BG-16,Payment instructions,,0..*,$.invoice.paymentInstructions,0000.0003.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement,,,,CII D16B reversible occurrence context. Uses the common physical parent to resolve CEN structural mismatch while retaining the HMD occurrence model.
113,3,A,BT-81,Payment means type code,Code,1..1,$.invoice.paymentInstructions.paymentMeansTypeCode,0000.0003.0004.0022.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:TypeCode,,cii_payment_means_parent_scalar,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Forward requires a unique semantic value across physical PaymentMeans occurrences; reverse repeats the parent scalar into each materialized PaymentMeans occurrence.
114,3,A,BT-82,Payment means text,Text,0..1,$.invoice.paymentInstructions.paymentMeansText,0000.0003.0004.0022.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:Information,,cii_payment_means_parent_scalar,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Forward requires a unique semantic value across physical PaymentMeans occurrences; reverse repeats the parent scalar into each materialized PaymentMeans occurrence.
115,3,A,BT-83,Payment remittance information,Text,0..1,$.invoice.paymentInstructions.paymentRemittanceInformation,0000.0003.0004.0006,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PaymentReference,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
116,3,C,BG-17,Credit transfer,,0..*,$.invoice.paymentInstructions.creditTransfer,0000.0003.0004.0022.0009,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount,,,,CII D16B reversible occurrence context.
117,4,A,BT-84,Payment account identifier,Identifier,0..1,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,0000.0003.0004.0022.0009.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:ProprietaryID,,,,ProprietaryID selected; IBANID remains a future syntax alternative.
118,4,A,BT-85,Payment account name,Text,0..1,$.invoice.paymentInstructions.creditTransfer.paymentAccountName,0000.0003.0004.0022.0009.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:AccountName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
119,4,A,BT-86,Payment service provider identifier,Identifier,0..1,$.invoice.paymentInstructions.creditTransfer.paymentServiceProviderIdentifier,0000.0003.0004.0022.0011.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeeSpecifiedCreditorFinancialInstitution/ram:BICID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. HMD places BT-86 in Credit transfer; canonical reverse therefore uses creditor financial institution.
120,3,C,BG-18,Payment card information,,0..1,$.invoice.paymentInstructions.paymentCardInformation,0000.0003.0004.0022.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard,,,,CII D16B reversible occurrence context.
121,4,A,BT-87,Payment card primary account number,Identifier,1..1,$.invoice.paymentInstructions.paymentCardInformation.paymentCardPrimaryAccountNumber,0000.0003.0004.0022.0007.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
122,4,A,BT-88,Payment card holder name,Text,0..1,$.invoice.paymentInstructions.paymentCardInformation.paymentCardHolderName,0000.0003.0004.0022.0007.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:CardholderName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
123,3,C,BG-19,Direct debit,,0..1,$.invoice.paymentInstructions.directDebit,0000.0003.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement,,,,CII D16B reversible occurrence context. Uses the common physical parent to resolve CEN structural mismatch while retaining the HMD occurrence model.
124,4,A,BT-89,Mandate reference identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.mandateReferenceIdentifier,0000.0003.0004.0028.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DirectDebitMandateID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
125,4,A,BT-90,Bank assigned creditor identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.bankAssignedCreditorIdentifier,0000.0003.0004.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:CreditorReferenceID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
126,4,A,BT-91,Debited account identifier,Identifier,0..1,$.invoice.paymentInstructions.directDebit.debitedAccountIdentifier,0000.0003.0004.0022.0008.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayerPartyDebtorFinancialAccount/ram:IBANID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
127,2,C,BG-20,Document level allowances,,0..*,$.invoice.documentLevelAllowances,0000.0003.0004.0025,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false'],,,,CII D16B reversible occurrence context. Physical role predicate is encoded in syntax_path.
128,3,A,BT-92,Document level allowance amount,Amount,1..1,$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,0000.0003.0004.0025.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ActualAmount,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
129,3,A,BT-93,Document level allowance base amount,Amount,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,0000.0003.0004.0025.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:BasisAmount,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
130,3,A,BT-94,Document level allowance percentage,Percentage,0..1,$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,0000.0003.0004.0025.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CalculationPercent,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
131,3,A,BT-95,Document level allowance VAT category code,Code,1..1,$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,0000.0003.0004.0025.0013.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
132,3,A,BT-96,Document level allowance VAT rate,Percentage,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceVatRate,0000.0003.0004.0025.0013.0022,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax/ram:RateApplicablePercent,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
133,3,A,BT-97,Document level allowance reason,Text,0..1,$.invoice.documentLevelAllowances.documentLevelAllowanceReason,0000.0003.0004.0025.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:Reason,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
